ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Gender,Age,Slots
Abilene YMCA State Street,LICENSED,4,Center,0,Not Rated,40,HEIDELBERG,39439,31,JASPER,601-308-5029,3,"2,3,4",2
Absolutely Super Kidz Playcare,LICENSED,4,Center,0,Not Rated,40,FULTON,38843,29,ITAWAMBA,601-310-8363,3,"4,5",2
Academy of Learning,LICENSED,4,Center,0,Not Rated,40,MERIDIAN,39305,38,LAUDERDALE,601-342-2124,3,"1,2",2
Akiba Academy Of Dallas,LICENSED,3,Group Home,0,Not Rated,40,JACKSON,39206,25,HINDS,601-472-0002,3,"1,2,3",2
Alexanders Academy,LICENSED,4,Center,0,Not Rated,40,VERONA,38879,41,LEE,601-502-2990,3,"1,2,3",2
"All About Kids Learning Center, LLC",LICENSED,4,Center,0,Not Rated,40,SHANNON,38868,41,LEE,601-553-1357,3,"1,2,3,4,5",2
Allstars Learning Center,LICENSED,4,Center,0,Not Rated,40,GREENVILLE,38703,76,WASHINGTON,601-636-2444,3,"1,2,3",2
Alpha Academy #2,LICENSED,4,Center,1,Low,40,COLUMBIA,39429,46,MARION,601-649-7203,3,"3,4,5",2
Alpha Montessori,LICENSED,4,Center,1,Low,40,COLUMBIA,39429,46,MARION,601-654-8801,3,"3,4,5",2
AlphaBest @ Crockett Elementary,LICENSED,2,Slot Contractor,0,Not Rated,40,HOLLY SPRINGS,38635,47,MARSHALL,601-661-8213,3,"2,3,4",2
Amanda Anderson,LICENSED,3,Group Home,0,Not Rated,40,MCCOMB,39648,57,PIKE,601-708-4716,3,"2,3",2
Amanda Brinkley,LICENSED,3,Group Home,0,Not Rated,40,ROBINSONVILLE,38664,72,TUNICA,601-713-0202,3,"1,2,3,4,5",2
Amanda Helms,LICENSED,3,Group Home,1,Low,40,COLUMBUS,39701,44,LOWNDES,601-713-6472,3,"1,2,3,4",2
Amazing Grace Learning Center and Infant Care,LICENSED,4,Center,2,Average,40,GREENVILLE,38703,76,WASHINGTON,601-732-7445,3,"4,5",2
Amiguitos Spanish Immersion Academy,LICENSED,4,Center,0,Not Rated,40,GREENWOOD,38930,42,LEFLORE,601-775-0279,3,"2,3,4",2
An Thi Tran,LICENSED,3,Group Home,0,Not Rated,40,ROBINSONVILLE,38664,72,TUNICA,601-796-3990,3,"2,3,4",2
Angel Care,LICENSED,4,Center,0,Not Rated,40,JACKSON,39203,25,HINDS,601-855-0030,3,"4,5",2
Angela Montoya,LICENSED,3,Group Home,0,Not Rated,40,CLEVELAND,38732,6,BOLIVAR,601-892-8311,3,"1,2",2
Angelica  Arellano,LICENSED,3,Group Home,0,Not Rated,40,QUITMAN,39355,12,CLARKE,601-922-8841,3,"1,2,3",2
Angies Daycare,LICENSED,4,Center,0,Not Rated,40,HOUSTON,38851,9,CHICKASAW,601-953-1907,3,"1,2,3",2
Anna Tatum,LICENSED,3,Group Home,0,Not Rated,40,HATTIESBURG,39401,18,FORREST,662-207-2329,3,"1,2,3,4,5",2
Annaville Early Headstart,LICENSED,4,Center,0,Not Rated,40,CLARKSDALE,38614,14,COAHOMA,662-213-5072,3,"1,2,3",2
Annebelle Jenkins,LICENSED,4,Center,0,Not Rated,40,HATTIESBURG,39401,18,FORREST,662-219-4091,3,"3,4,5",2
Annointed Christian Childcare & Academy II,LICENSED,4,Center,1,Low,40,MERIDIAN,39305,38,LAUDERDALE,662-244-5862,3,"3,4,5",2
Arapaho United Methodist Day School,LICENSED,4,Center,0,Not Rated,40,NATCHEZ,39120,1,ADAMS,662-302-6538,3,"2,3,4",2
Aunt Susis School House,LICENSED,4,Center,0,Not Rated,40,MYRTLE,38650,73,UNION,662-378-9530,3,"2,3",2
Bach-Tuyet Thi Vo,LICENSED,4,Center,0,Not Rated,40,WATER VALLEY,38965,81,YALOBUSHA,662-487-1886,3,"1,2,3,4,5",2
Bayou Village School,LICENSED,4,Center,0,Not Rated,40,WATER VALLEY,38965,81,YALOBUSHA,662-590-7159,3,"1,2,3,4",2
Becky's Playhouse,LICENSED,4,Center,0,Not Rated,40,HATTIESBURG,39402,37,LAMAR,662-647-5495,3,"4,5",2
Beginning Phases Learning Academy,LICENSED,4,Center,0,Not Rated,40,JACKSON,39209,25,HINDS,662-673-2625,3,"2,3,4",2
Benge Learning Academy,LICENSED,4,Center,1,Low,40,JACKSON,39204,25,HINDS,662-738-5670,3,"2,3,4",2
Bess Knapp Child Development  and Child Care,LICENSED,4,Center,0,Not Rated,40,INDIANOLA,38751,67,SUNFLOWER,662-746-3812,3,"4,5",2
Betty Thi Ngo,LICENSED,4,Center,0,Not Rated,40,MERIDIAN,39307,38,LAUDERDALE,662-779-3937,3,"1,2",2
Bitty Blessings Daycare & Preschool,LICENSED,4,Center,0,Not Rated,40,NATCHEZ,39120,1,ADAMS,662-845-4282,3,"1,2,3",2
Blessings from Above CCC 2 LLC,LICENSED,4,Center,0,Not Rated,40,EUPORA,39744,78,WEBSTER,662-902-2793,3,"1,2,3",2
Bonham Early Childhood Learning Center,LICENSED,4,Center,0,Not Rated,40,MADISON,39110,45,MADISON,228-218-6471,3,"1,2,3,4,5",2
A+ Kidz Care Learning Center  LLC,LICENSED,4,Center,0,Not Rated,39,HATTIESBURG,39401,18,FORREST,228-863-3074,3,"1,2,3",2
Alamo Heights United Methodist Weekday School,LICENSED,4,Center,1,Low,39,PRENTISS,39474,33,JEFFERSON DAVIS,601-482-7081,3,"3,4,5",2
All American Learning Academy,LICENSED,4,Center,0,Not Rated,39,JACKSON,39206,25,HINDS,601-567-2118,3,"3,4,5",2
All Faiths Day School,LICENSED,4,Center,0,Not Rated,39,MERIDIAN,39307,38,LAUDERDALE,601-575-6002,3,"2,3,4",2
Allen Montessori Academy,LICENSED,4,Center,1,Low,39,VICKSBURG,39180,75,WARREN,601-623-9085,3,"2,3",2
Amelia Bradley,LICENSED,3,Group Home,2,Average,39,MCCOMB,39648,57,PIKE,601-748-0760,3,"1,2,3,4,5",2
Amy's Adventureland,LICENSED,4,Center,0,Not Rated,39,COLUMBUS,39701,44,LOWNDES,601-795-4853,3,"1,2,3,4",2
Andrea's Angels Two,LICENSED,4,Center,0,Not Rated,39,PORT GIBSON,39150,11,CLAIBORNE,601-847-1906,3,"4,5",2
Angels Care and Learning Center,LICENSED,4,Center,0,Not Rated,39,CALHOUN CITY,38916,7,CALHOUN,601-938-0923,3,"2,3,4",2
Anita Beards Day Care,LICENSED,4,Center,1,Low,39,OCEAN SPRINGS,39564,30,JACKSON,601-982-4012,3,"2,3,4",2
"APTG, LLC, A Place to Grow Daycare",LICENSED,4,Center,1,Low,39,INDIANOLA,38751,67,SUNFLOWER,662-295-6510,3,"4,5",2
BBCDC1 Inc Building Blocks,LICENSED,2,Slot Contractor,1,Low,39,PHILADELPHIA,39350,50,NESHOBA,662-592-0060,3,"1,2",2
BISD District Day Care @ Cedar Creek Elem.,LICENSED,2,Slot Contractor,1,Low,39,MERIDIAN,39307,38,LAUDERDALE,662-844-4741,3,"1,2,3",2
Blessed Hands Daycare,LICENSED,4,Center,0,Not Rated,39,WOODVILLE,39669,79,WILKINSON,662-890-1633,3,"1,2,3",2
Borchardt Elementary YMCA,LICENSED,4,Center,1,Low,39,PORT GIBSON,39150,11,CLAIBORNE,601-259-1450,3,"1,2,3,4,5",2
Bowen Road Day School,LICENSED,4,Center,0,Not Rated,39,STARKVILLE,39759,53,OKTIBBEHA,601-316-8037,3,"1,2,3",2
Boys & Girls Club of Brazoria Club at Ney,LICENSED,2,Slot Contractor,0,Not Rated,39,BAY ST LOUIS,39520,23,HANCOCK,601-329-8683,3,"3,4,5",2
A Garden For Children Child Dev. Center,LICENSED,3,Group Home,1,Low,38,JACKSON,39206,25,HINDS,228-326-5461,3,"3,4,5",2
"A Happy Home Child Care, LLC",LICENSED,4,Center,1,Low,38,JACKSON,39206,25,HINDS,228-363-5244,3,"2,3,4",2
Academy of Young Scholars,LICENSED,4,Center,0,Not Rated,38,HORN LAKE,38637,17,DESOTO,601-345-3475,3,"2,3",2
All About Kids Mineral Wells,LICENSED,4,Center,0,Not Rated,38,RIPLEY,38663,70,TIPPAH,601-553-2153,3,"1,2,3,4,5",2
All Stars Academy,LICENSED,4,Center,0,Not Rated,38,STARKVILLE,39759,53,OKTIBBEHA,601-604-1878,3,"1,2,3,4",2
Allisons Clubhouse,LICENSED,4,Center,0,Not Rated,38,COLUMBIA,39429,46,MARION,601-636-1561,3,"4,5",2
Amber  Riggs,LICENSED,4,Center,0,Not Rated,38,VICKSBURG,39183,75,WARREN,601-736-3829,3,"2,3,4",2
American Kids Athletics,LICENSED,4,Center,0,Not Rated,38,MCCOMB,39648,57,PIKE,601-763-7729,3,"2,3,4",2
Angels From Heaven Learning Center,LICENSED,4,Center,0,Not Rated,38,JACKSON,39204,25,HINDS,601-939-4345,3,"4,5",2
Atunya Melton,LICENSED,4,Center,1,Low,38,FAYETTE,39069,32,JEFFERSON,662-378-5727,3,"1,2",2
Aunt Faye Early Learning Academy,LICENSED,4,Center,0,Not Rated,38,JACKSON,39209,25,HINDS,662-378-7724,3,"1,2,3",2
Bear Creek UMC School,LICENSED,4,Center,0,Not Rated,38,MENDENHALL,39114,64,SIMPSON,662-623-0164,3,"1,2,3",2
Blocks In Your Socks CCC,LICENSED,4,Center,1,Low,38,HATTIESBURG,39402,37,LAMAR,662-962-4036,3,"1,2,3,4,5",2
Boys & Girls Club of Brazoria County,LICENSED,2,Slot Contractor,0,Not Rated,38,YAZOO CITY,39194,82,YAZOO,601-331-3177,3,"1,2,3",2
Academy for Creative Learning,LICENSED,4,Center,0,Not Rated,37,GRENADA,38901,22,GRENADA,601-331-6942,3,"3,4,5",2
Academy Learning Center,LICENSED,4,Center,1,Low,37,JACKSON,39206,25,HINDS,601-336-8494,3,"3,4,5",2
Alcira Fontenot,LICENSED,4,Center,0,Not Rated,37,JACKSON,39213,25,HINDS,601-484-7535,3,"3,4,5",2
All My Children Day Care Center,LICENSED,4,Center,0,Not Rated,37,RIPLEY,38663,70,TIPPAH,601-594-6146,3,"2,3,4",2
Allbright Academy,LICENSED,4,Center,0,Not Rated,37,PONTOTOC,38863,58,PONTOTOC,601-616-8182,3,"2,3",2
Ama  Doke,LICENSED,3,Group Home,4,Very Good,37,VICKSBURG,39183,75,WARREN,601-697-9255,3,"1,2,3,4,5",2
Ashley Cassell,LICENSED,4,Center,0,Not Rated,37,CRYSTAL SPRINGS,39059,15,COPIAH,662-344-1239,3,"1,2,3,4",2
Avance - San Antonio:  Head Start - Vestal Elementary,LICENSED,2,Slot Contractor,0,Not Rated,37,BILOXI,39531,24,HARRISON,662-423-6827,3,"4,5",2
Beacon School and Child Care,LICENSED,4,Center,0,Not Rated,37,BUDE,39630,19,FRANKLIN,662-621-1417,3,"2,3,4",2
Belinda Wynette Phan,LICENSED,4,Center,0,Not Rated,37,NATCHEZ,39120,1,ADAMS,662-719-8616,3,"2,3,4",2
Benita Castro,LICENSED,4,Center,0,Not Rated,37,CANTON,39046,45,MADISON,662-738-6483,3,"4,5",2
Betty Lin Early Childhood Learning Ctr,LICENSED,4,Center,0,Not Rated,37,CENTREVILLE,39631,79,WILKINSON,662-773-7787,3,"1,2",2
Beverly Gray,LICENSED,4,Center,0,Not Rated,37,PURVIS,39475,37,LAMAR,662-809-5179,3,"1,2,3",2
A Habitat for Learning - Tuscola,LICENSED,4,Center,0,Not Rated,36,SOUTHAVEN,38671,17,DESOTO,228-357-5536,3,"1,2,3",2
Alpha Child Development Center,LICENSED,4,Center,0,Not Rated,36,TUPELO,38801,41,LEE,601-653-2600,3,"1,2,3,4,5",2
Amy Valdez,LICENSED,3,Group Home,0,Not Rated,36,WOODVILLE,39669,79,WILKINSON,601-792-8944,3,"1,2,3",2
Angela Lange,LICENSED,3,Group Home,0,Not Rated,36,LAUREL,39443,34,JONES,601-879-8431,3,"3,4,5",2
Anna Enriquez,LICENSED,3,Group Home,0,Not Rated,36,JACKSON,39217,25,HINDS,604-656-7224,3,"3,4,5",2
Barbara Aguillard-Dean,LICENSED,4,Center,0,Not Rated,36,TUPELO,38801,41,LEE,662-537-8092,3,"2,3,4",2
Berean Academy,LICENSED,4,Center,0,Not Rated,36,SOUTHAVEN,38671,17,DESOTO,662-741-3444,3,"2,3",2
Blanca Ruiz,LICENSED,4,Center,0,Not Rated,36,MOSS POINT,39562,30,JACKSON,662-884-0999,3,"1,2,3,4,5",2
ABC Playschool,LICENSED,4,Center,0,Not Rated,35,MERIDIAN,39301,38,LAUDERDALE,601-267-7379,3,"1,2,3,4",2
Al's Toy Barn Learning Center LLC,LICENSED,4,Center,0,Not Rated,35,JACKSON,39209,25,HINDS,601-479-0268,3,"4,5",2
All Gods Children Day Care,LICENSED,4,Center,0,Not Rated,35,GREENVILLE,38703,76,WASHINGTON,601-583-4000,3,"2,3,4",2
Alliance After School Care at TLCA,LICENSED,2,Slot Contractor,0,Not Rated,35,JACKSON,39212,25,HINDS,601-634-8068,3,"2,3,4",2
Alma's Day Care,LICENSED,4,Center,0,Not Rated,35,WAYNESBORO,39367,77,WAYNE,601-638-2888,3,"4,5",2
Amanda Waddle,LICENSED,3,Group Home,0,Not Rated,35,COLUMBUS,39702,44,LOWNDES,601-717-2069,3,"1,2",2
Angela Dacosta Grier,LICENSED,3,Group Home,0,Not Rated,35,CORINTH,38834,2,ALCORN,601-866-7358,3,"1,2,3",2
Barb's Family Child Care,LICENSED,4,Center,1,Low,35,COLUMBIA,39429,46,MARION,662-537-7562,3,"1,2,3",2
Barbara T Williams Head Start  and CDC,LICENSED,4,Center,3,Good,35,YAZOO CITY,39194,82,YAZOO,662-566-2422,3,"1,2,3,4,5",2
Beehive Inc,LICENSED,4,Center,3,Good,35,COLUMBIA,39429,46,MARION,662-653-3531,3,"1,2,3",2
Betty's Day Care,LICENSED,4,Center,0,Not Rated,35,HATTIESBURG,39401,18,FORREST,662-792-2323,3,"3,4,5",2
Bilingual Childcare,LICENSED,2,Slot Contractor,0,Not Rated,35,CLEVELAND,38732,6,BOLIVAR,662-836-6181,3,"3,4,5",2
Acres Of Learning & Love,LICENSED,4,Center,0,Not Rated,34,CLARKSDALE,38614,14,COAHOMA,601-355-1700,3,"2,3,4",2
Alice Jones,LICENSED,3,Group Home,0,Not Rated,34,CANTON,39046,45,MADISON,601-527-3579,3,"2,3",2
All About Ewe Daycare,LICENSED,4,Center,0,Not Rated,34,CANTON,39046,45,MADISON,601-546-2435,3,"1,2,3,4,5",2
All My Children,LICENSED,4,Center,2,Average,34,WEBB,38966,68,TALLAHATCHIE,601-587-7573,3,"1,2,3,4",2
"Apple Seed Private School, LLC",LICENSED,4,Center,0,Not Rated,34,SUMMIT,39666,57,PIKE,662-267-3314,3,"4,5",2
April Lunsford,LICENSED,4,Center,0,Not Rated,34,STARKVILLE,39759,53,OKTIBBEHA,662-289-7141,3,"2,3,4",2
April Michelle Lozano,LICENSED,4,Center,0,Not Rated,34,STARKVILLE,39759,53,OKTIBBEHA,662-289-7440,3,"2,3,4",2
BBCDC4 Inc Building Blocks,LICENSED,2,Slot Contractor,0,Not Rated,34,PHILADELPHIA,39350,50,NESHOBA,662-592-0604,3,"4,5",2
Bear Hugs Child Care,LICENSED,4,Center,0,Not Rated,34,CALHOUN CITY,38916,7,CALHOUN,662-624-4242,3,"1,2",2
Bettys Child Care,LICENSED,4,Center,0,Not Rated,34,JACKSON,39209,25,HINDS,662-793-9661,3,"1,2,3",2
Bilingual Child Academy - Stone Oak,LICENSED,2,Slot Contractor,0,Not Rated,34,INDIANOLA,38751,67,SUNFLOWER,662-836-5909,3,"1,2,3",2
A Place to Grow,LICENSED,4,Center,0,Not Rated,33,GREENVILLE,38701,76,WASHINGTON,228-497-3222,3,"1,2,3,4,5",2
A Place to Grow,LICENSED,4,Center,1,Low,33,JACKSON,39209,25,HINDS,228-497-9278,3,"1,2,3",2
ABC Kids Fun 2 Learn Center  #3,LICENSED,4,Center,0,Not Rated,33,MERIDIAN,39301,38,LAUDERDALE,601-249-2783,3,"3,4,5",2
Academy,LICENSED,4,Center,0,Not Rated,33,HEIDELBERG,39439,31,JASPER,601-326-0556,3,"3,4,5",2
Achievers Learning Education Xcellence,LICENSED,4,Center,0,Not Rated,33,CLINTON,39056,25,HINDS,601-346-7711,3,"2,3,4",2
Ana Briseno Childcare,LICENSED,4,Center,2,Average,33,HOLLANDALE,38748,76,WASHINGTON,601-798-0917,3,"2,3",2
Atascocita Montessori,LICENSED,4,Center,0,Not Rated,33,HEIDELBERG,39439,31,JASPER,662-369-7907,3,"1,2,3,4,5",2
BCFS Education Services,LICENSED,2,Slot Contractor,0,Not Rated,33,GREENVILLE,38701,76,WASHINGTON,662-592-2119,3,"1,2,3,4",2
Binh Quoc Ta,LICENSED,4,Center,1,Low,33,MERIDIAN,39301,38,LAUDERDALE,662-837-4155,3,"4,5",2
A - Kid - Campus,LICENSED,4,Center,0,Not Rated,32,JACKSON,39209,25,HINDS,228-233-9655,3,"2,3,4",2
Alice Wise,LICENSED,3,Group Home,0,Not Rated,32,BATESVILLE,38606,54,PANOLA,601-535-7454,3,"2,3,4",2
Alliance After School Care at Bonham,LICENSED,2,Slot Contractor,1,Low,32,MARKS,38646,60,QUITMAN,601-624-1294,3,"4,5",2
American Montessori Campus,LICENSED,4,Center,0,Not Rated,32,COLUMBUS,39705,44,LOWNDES,601-764-3680,3,"1,2",2
Aurora Ortiz Ruiz,LICENSED,4,Center,0,Not Rated,32,VICKSBURG,39183,75,WARREN,662-383-2332,3,"1,2,3",2
Avance - Batesville Head Start,LICENSED,2,Slot Contractor,1,Low,32,TUPELO,38801,41,LEE,662-423-6827,3,"1,2,3",2
Beverly Whigham,LICENSED,4,Center,1,Low,32,MERIDIAN,39301,38,LAUDERDALE,662-820-6190,3,"1,2,3,4,5",2
Bien Thai,LICENSED,4,Center,0,Not Rated,32,GREENVILLE,38701,76,WASHINGTON,662-833-3515,3,"1,2,3",2
"Blessings From Above Child Care Centers, LLC",LICENSED,4,Center,0,Not Rated,32,MCCOMB,39648,57,PIKE,662-902-6505,3,"3,4,5",2
A Step Above,LICENSED,4,Center,1,Low,31,JACKSON,39203,25,HINDS,228-627-7297,3,"3,4,5",2
Academic Athlete Plus After School Program,LICENSED,4,Center,0,Not Rated,31,GREENVILLE,38701,76,WASHINGTON,601-322-0204,3,"2,3,4",2
After The Bell - Good Summer Program,LICENSED,4,Center,1,Low,31,JACKSON,39213,25,HINDS,601-425-3581,3,"2,3",2
Alliance After School Care at Ortiz,LICENSED,2,Slot Contractor,0,Not Rated,31,TUPELO,38804,41,LEE,601-632-1340,3,"1,2,3,4,5",2
American Dream Learning Center,LICENSED,4,Center,0,Not Rated,31,GREENVILLE,38703,76,WASHINGTON,601-757-5616,3,"1,2,3,4",2
Barrington Extend A Care,LICENSED,4,Center,0,Not Rated,31,LONG BEACH,39560,24,HARRISON,662-571-8649,3,"4,5",2
Blossom's Blooms Learning Center,LICENSED,4,Center,0,Not Rated,31,GREENVILLE,38701,76,WASHINGTON,769-203-1325,3,"2,3,4",2
K Street Learning Center LLC,LICENSED,2,Slot Contractor,0,Not Rated,30,LAUREL,39440,34,JONES,205-698-0401,3,"2,3,4",2
1st Step 2 Life,LICENSED,4,Center,0,Not Rated,30,HATTIESBURG,39402,37,LAMAR,228-206-7103,3,"4,5",2
1st UMC Parents Day Out,LICENSED,4,Center,1,Low,30,HATTIESBURG,39401,18,FORREST,228-217-3367,3,"1,2",2
2 Grannys House Infant Care Center,LICENSED,2,Slot Contractor,0,Not Rated,30,SOUTHAVEN,38671,17,DESOTO,228-218-3966,3,"1,2,3",2
803 Old McDonald Day Care Learning Center,LICENSED,4,Center,0,Not Rated,30,VANCLEAVE,39565,30,JACKSON,228-224-5734,3,"1,2,3",2
A and M Child Care Center,LICENSED,2,Slot Contractor,0,Not Rated,30,JACKSON,39209,25,HINDS,228-234-0970,3,"1,2,3,4,5",2
A Bar Z Ponderosa II,LICENSED,4,Center,0,Not Rated,30,BILOXI,39532,30,JACKSON,228-234-5988,3,"1,2,3",2
A Child's Haven,LICENSED,2,Slot Contractor,1,Low,30,HATTIESBURG,39401,18,FORREST,228-263-1889,3,"3,4,5",2
A Childs Pointe Day Care,LICENSED,4,Center,0,Not Rated,30,OLIVE BRANCH,38654,17,DESOTO,228-285-1963,3,"3,4,5",2
A Habitat for Learning - Sayles,LICENSED,4,Center,0,Not Rated,30,OLIVE BRANCH,38654,17,DESOTO,228-363-4150,3,"2,3,4",2
A Heart for the Children,LICENSED,4,Center,0,Not Rated,30,LONG BEACH,39560,24,HARRISON,228-365-2805,3,"2,3",2
A Magic Day,LICENSED,4,Center,0,Not Rated,30,JACKSON,39206,25,HINDS,228-424-7142,3,"1,2,3,4,5",2
A New World Christian L C #2,LICENSED,4,Center,1,Low,30,CLINTON,39056,25,HINDS,228-475-5440,3,"1,2,3,4",2
A Place For Children Too Inc.,LICENSED,4,Center,0,Not Rated,30,HAZLEHURST,39083,15,COPIAH,228-497-1454,3,"4,5",2
"A Positive Place Child Care, LLC",LICENSED,4,Center,0,Not Rated,30,OLIVE BRANCH,38654,17,DESOTO,228-588-6570,3,"2,3,4",2
A World of Wonders Preschool and Child Care,LICENSED,4,Center,0,Not Rated,30,SOUTHAVEN,38671,17,DESOTO,228-822-2737,3,"2,3,4",2
"A+ Kidz Care Learning Center 2, LLC",LICENSED,4,Center,0,Not Rated,30,TYLERTOWN,39667,74,WALTHALL,228-864-2589,3,"4,5",2
A-2-Z Learning Center,LICENSED,4,Center,0,Not Rated,30,OLIVE BRANCH,38654,17,DESOTO,228-867-1758,3,"1,2",2
ABC & 123,LICENSED,4,Center,0,Not Rated,30,BELZONI,39038,27,HUMPHREYS,228-990-3298,3,"1,2,3",2
ABC Children's Academy #2,LICENSED,4,Center,0,Not Rated,30,HATTIESBURG,39401,18,FORREST,601-206-5480,3,"1,2,3",2
ABC Dual Language Learning Center,LICENSED,4,Center,0,Not Rated,30,PEARL,39208,61,RANKIN,601-234-3424,3,"1,2,3,4,5",2
ABC Son Shine School,LICENSED,4,Center,0,Not Rated,30,JACKSON,39206,25,HINDS,601-270-9004,3,"1,2,3",2
Abiding Word Lutheran School,LICENSED,4,Center,0,Not Rated,30,JACKSON,39204,25,HINDS,601-287-2433,3,"3,4,5",2
Abram Headstart & Child Development Center,LICENSED,4,Center,1,Low,30,HATTIESBURG,39401,18,FORREST,601-310-7682,3,"1,2",2
Abundantly Blessed Childcare,LICENSED,4,Center,0,Not Rated,30,SOUTHAVEN,38671,17,DESOTO,601-317-7297,3,1,2
Academy of Little Scholars,LICENSED,4,Center,1,Low,30,HATTIESBURG,39401,18,FORREST,601-342-2213,3,"2,3",2
Ace Leen's Learning Center,LICENSED,4,Center,2,Average,30,LUMBERTON,39455,37,LAMAR,601-345-8918,3,"4,5",2
Acres Homes Head Start Center,LICENSED,4,Center,3,Good,30,HATTIESBURG,39401,18,FORREST,601-355-0001,3,4,2
Ada Garrett,LICENSED,4,Center,0,Not Rated,30,METCALFE,38760,76,WASHINGTON,601-362-0166,3,"3,4",2
After The Bell - Academy Central Elementary,LICENSED,4,Center,0,Not Rated,30,JACKSON,39202,25,HINDS,601-422-8718,3,5,2
Agape Learning Center,LICENSED,4,Center,0,Not Rated,30,JACKSON,39212,25,HINDS,601-442-4487,3,5,2
Agnes Dutchess Herbert,LICENSED,3,Group Home,0,Not Rated,30,BILOXI,39532,24,HARRISON,601-448-5001,3,"1,2",2
Agripina Vargas,LICENSED,3,Group Home,2,Average,30,JACKSON,39212,25,HINDS,601-448-5085,3,2,2
Aim and Focus Karate,LICENSED,4,Center,0,Not Rated,30,BILOXI,39531,24,HARRISON,601-456-4310,3,1,2
Aladdin Daycare III,LICENSED,4,Center,0,Not Rated,30,PASS CHRISTIAN,39571,24,HARRISON,601-480-7081,3,"2,3",2
Alameda School and Child Care,LICENSED,4,Center,0,Not Rated,30,BILOXI,39531,24,HARRISON,601-482-0657,3,1,2
Alamo Head Start,LICENSED,4,Center,2,Average,30,JACKSON,39212,25,HINDS,601-482-4351,3,"2,3",2
Aledo Country  Day  Academy,LICENSED,4,Center,0,Not Rated,30,GREENWOOD,38930,42,LEFLORE,601-486-6966,3,1,2
Aleyda Ramos,LICENSED,3,Group Home,0,Not Rated,30,ITTA BENA,38941,42,LEFLORE,601-502-5225,3,"1,2",2
Alice Carlson Extended Day Care-Clayton,LICENSED,4,Center,1,Low,30,SARDIS,38666,54,PANOLA,601-519-7266,3,2,2
All Aboard Learning Center,LICENSED,4,Center,0,Not Rated,30,TUPELO,38801,41,LEE,601-546-2257,3,2,2
All Gods Children,LICENSED,4,Center,0,Not Rated,30,WEBB,38966,68,TALLAHATCHIE,601-582-8631,3,1,2
All My Children Day Care,LICENSED,4,Center,0,Not Rated,30,SHANNON,38868,41,LEE,601-594-2016,3,"1,2",2
Allen Chapel Learning Center,LICENSED,4,Center,0,Not Rated,30,MACON,39341,52,NOXUBEE,601-618-7030,3,"1,2,3",2
Alliance After School Care at Bowie,LICENSED,2,Slot Contractor,0,Not Rated,30,NEW ALBANY,38652,73,UNION,601-625-7344,3,3,2
Alma Smith,LICENSED,3,Group Home,1,Low,30,POPLARVILLE,39470,55,PEARL RIVER,601-638-1071,3,"4,5",2
Almost Angels,LICENSED,4,Center,4,Very Good,30,DECATUR,39327,51,NEWTON,601-638-5775,3,"3,4",2
Almost Home,LICENSED,4,Center,0,Not Rated,30,INDIANOLA,38751,67,SUNFLOWER,601-638-8109,3,"1,2",2
Alpha Academy,LICENSED,4,Center,0,Not Rated,30,WATER VALLEY,38965,81,YALOBUSHA,601-649-1003,3,1,2
Alpha Academy at Oakmont,LICENSED,4,Center,0,Not Rated,30,MERIDIAN,39305,38,LAUDERDALE,601-649-7991,3,"2,3",2
AlphaBest @ Branch Elementary,LICENSED,2,Slot Contractor,0,Not Rated,30,LELAND,38756,76,WASHINGTON,601-659-3844,3,"4,5",2
AlphaBest @ Baker Elementary,LICENSED,2,Slot Contractor,0,Not Rated,30,PHILADELPHIA,39350,50,NESHOBA,601-678-6988,3,4,2
AlphaBest @ McSpedden Elementary,LICENSED,2,Slot Contractor,0,Not Rated,30,CARRIERE,39426,55,PEARL RIVER,601-683-3373,3,"3,4",2
AlphaBest @ Comstock Elementary,LICENSED,2,Slot Contractor,0,Not Rated,30,BYHALIA,38611,47,MARSHALL,601-684-0950,3,5,2
Alphabet Club,LICENSED,4,Center,0,Not Rated,30,CAMDEN,39045,45,MADISON,601-684-2310,3,5,2
Alvarado Day Care,LICENSED,4,Center,0,Not Rated,30,COLUMBUS,39701,44,LOWNDES,601-693-1940,3,"1,2",2
Amanda  Pakebusch,LICENSED,3,Group Home,0,Not Rated,30,MORTON,39117,62,SCOTT,601-701-5589,3,2,2
Amanda Crawford,LICENSED,3,Group Home,0,Not Rated,30,LELAND,38756,76,WASHINGTON,601-713-1023,3,1,2
Amanda Najjar,LICENSED,3,Group Home,0,Not Rated,30,LOUISVILLE,39339,80,WINSTON,601-715-0504,3,"2,3",2
Amber Peters,LICENSED,3,Group Home,0,Not Rated,30,LOUISVILLE,39339,80,WINSTON,601-738-5238,3,1,2
Amelia Smith,LICENSED,3,Group Home,0,Not Rated,30,WALNUT,38683,70,TIPPAH,601-749-6042,3,"2,3",2
Gloria Palmira Garcia,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,30,GREENVILLE,38701,76,WASHINGTON,601-757-6611,3,1,2
Amigos Spanish Preschool,LICENSED,4,Center,3,Good,30,CRAWFORD,39743,44,LOWNDES,601-775-0131,3,"1,2",2
